year,magnitude,fire,harvest,insects,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag,temperature_lag,longitude,latitude
2013, -929,NA,NA,NA, 84.72,81.81,15.44,0,408,1270,4.00,1050,5.66,-6139936,5082656
2010,  553,NA,NA,NA, 69.88,90.90, 8.97,0,516,1067,5.33,1147,3.82,-6150592,5055784
2013, -757,NA,NA,NA, 62.59,91.84, 8.15,0,261,1004,4.62, 886,6.15,-6033606,5084510
2018, -840,NA,NA,NA, 81.46,49.77,49.99,0,312, 958,4.74, 983,4.89,-6039629,5086594
2013, -721,NA,NA,NA, 78.28,81.08,18.83,0,468,1203,3.56,1006,5.21,-6089667,5110223
2010,  692,NA,NA,NA, 88.71,73.70,25.47,0,259, 878,6.50, 911,4.64,-6027814,5081266
2013, -723,NA,NA,NA, 84.42,54.28,45.59,0,367,1157,3.84, 969,5.49,-6082717,5120648
2008, -540,NA,NA,NA, 88.68,88.48,11.46,0,223, 978,4.78, 853,5.64,-6028278,5080108
2008, -804,NA,NA,NA, 87.78,87.32,12.47,0,233, 981,4.71, 856,5.59,-6028046,5080108
2010,  562,NA,NA,NA,116.12,79.11,20.48,0,229, 870,6.61, 902,4.76,-6028278,5081035
2013, -593,NA,NA,NA, 77.00,87.46,12.41,0,349,1150,3.89, 963,5.58,-6079474,5125049
2013, -445,NA, 1,NA, 32.29,61.95,38.02,0,329,1130,3.89, 949,5.54,-6066964,5131999
2013, -719,NA,NA,NA, 67.94,72.62,27.05,0,374,1052,4.09, 912,5.62,-6074377,5064355
2011, -778,NA,NA,NA, 68.80,24.04,66.76,0,399, 975,4.79, 988,4.11,-6058856,5089143
2016, -574,NA,NA,NA, 75.10,87.75,12.22,0,453,1004,5.20, 999,4.02,-6072756,5041885
2015, -552,NA,NA,NA, 73.56,70.52,29.48,0,463, 919,4.48,1061,4.65,-6141326,5024047
2013,-1580,NA,NA,NA, 78.70,94.68, 4.76,0,522,1290,3.67,1070,5.26,-6147349,5072927
2013,-1020,NA,NA,NA, 76.96,85.68,14.14,0,502,1105,3.80, 952,5.29,-6098469,5044896
2007, -585,NA,NA,NA, 66.72,13.81,86.19,1,264, 853,4.40, 854,4.60,-6031289,5109760
2018, -465,NA,NA,NA, 68.50,57.79,41.82,0,303, 958,4.80, 987,4.95,-6031057,5089143
2019,  326,NA,NA,NA, 84.68,76.50,22.55,0,491,1219,3.03,1112,4.43,-6098469,5052309
2006, -776,NA,NA,NA, 64.55,72.09,27.53,0,347,1054,5.30, 931,3.87,-6084338,5122733
2014, -624,NA,NA,NA, 77.80,87.68,12.08,0,448,1241,3.10,1097,4.84,-6112600,5106980
2013, -588,NA,NA,NA, 75.42,79.27,20.61,0,387,1165,3.80, 971,5.52,-6082254,5131767
2016,  265,NA,NA,NA, 71.23,69.92,28.92,0,335, 940,5.59,1077,4.05,-6103103,5123660
2017, -687,NA,NA,NA, 81.88,70.16,29.49,0,428,1242,4.43, 953,4.13,-6081790,5057869
2013, -698,NA,NA,NA, 70.08,59.98,39.94,0,409,1149,3.60, 966,5.32,-6067428,5129219
2011,  507,NA,NA,NA, 76.12,77.41,22.42,0,446,1012,5.01,1085,4.31,-6113064,5057637
2017, -512,NA,NA,NA, 62.80,86.89,13.11,0,374,1220,4.70, 933,4.43,-6024108,5088679
2012, 1057,NA,NA,NA, 71.14,86.01,13.75,0,513,1027,5.81,1092,4.63,-6149202,5063197
2010, -960,NA,NA,NA, 77.20,76.59,23.36,0,496, 968,5.40,1033,3.71,-6101249,5044896
2005, -932,NA, 1,NA, 68.36,79.38,20.34,0,405, 891,4.47, 963,3.53,-6088045,5116478
2018, -818,NA,NA,NA, 83.27,60.55,39.33,0,396, 918,3.96, 956,4.18,-6041250,5119258
2018, -979,NA,NA,NA, 77.76,41.54,58.33,0,352, 958,4.44, 982,4.60,-6051443,5088448
2017, -842,NA,NA,NA, 95.83,82.64,17.28,0,346,1380,5.42, 968,5.18,-6077852,5027290
2013,-1006,NA,NA,NA, 76.20,63.09,36.41,0,420,1101,4.18, 943,5.69,-6107041,5043043
2009, -618,NA,NA,NA, 65.98,72.70,27.25,0,451,1057,3.80,1021,4.56,-6100323,5034703
2008, -539,NA,NA,NA, 65.86,28.32,61.00,0,247, 988,4.20, 867,5.07,-6023413,5105822
2012,  251,NA,NA,NA, 61.36,25.83,72.34,0,254, 867,6.08, 905,5.03,-6029668,5110455
2010, -630,NA, 1,NA, 58.55,58.27,41.41,0,398, 922,5.21, 987,3.47,-6041945,5129219
2022, 1276,NA,NA,NA, 86.86,66.24,33.76,0,290,  NA,  NA, 956,5.33,-6034069,5087521
2011,  380,NA,NA,NA, 63.98,18.33,72.36,0,243, 944,5.44, 918,4.84,-6024108,5103737
2008, -665,NA, 1,NA, 25.47,23.87,73.21,0,293,1051,3.84, 902,4.67,-6044725,5115552
2013, -608,NA,NA,NA, 80.26,92.81, 7.04,0,382,1249,4.64,1037,6.11,-6170515,5041190
2007,  509,NA,NA,NA, 58.62,44.87,52.87,0,202, 840,4.50, 836,4.79,-5997699,5130378
2013,-1954,NA,NA,NA, 79.46,79.79,19.90,0,342,1262,4.97,1045,6.43,-6194144,5030302
2015, -656,NA,NA,NA, 79.80,77.15,22.85,0,451, 870,3.99,1129,4.04,-6094531,5112540
2016, -713,NA,NA,NA,117.18,82.80,17.02,0,419,1016,5.50, 995,4.36,-6054223,5046055
2013, -671,NA,NA,NA, 73.06,81.40,18.60,0,400,1159,3.61, 972,5.33,-6075072,5126903
2007, -600,NA,NA,NA, 68.27,61.03,38.42,0,324, 839,5.00, 885,5.36,-6061636,5043970
2010,  806,NA,NA,NA, 52.48,80.20,19.63,0,251, 876,6.60, 909,4.74,-6025266,5080108
2015, -347,NA,NA,NA, 81.40,90.86, 8.81,0,450, 863,3.96,1119,4.01,-6089435,5114857
2016, -967,NA, 1,NA, 78.67,81.45,18.55,0,462, 999,5.40,1043,4.13,-6132060,5021499
2013,-1148,NA,NA,NA, 77.72,93.26, 6.74,0,377,1231,4.82,1028,6.27,-6184646,5025437
2011,  834,NA,NA,NA, 71.00,83.09,16.69,0,328, 970,5.46, 943,4.83,-6025498,5082656
2021,  814,NA,NA,NA, 73.34,76.53,23.28,0,484,1061,5.90,1186,4.35,-6120245,5040263
2015, -613,NA,NA,NA, 72.24,77.76,22.24,0,406, 862,4.12, 972,4.26,-6043799,5080571
2011,  476,NA,NA,NA, 70.80,61.75,37.70,0,399, 959,5.35,1014,4.67,-6077389,5046055
2009, -621,NA, 1,NA, 27.40,33.84,65.98,0,268, 898,3.82, 951,4.57,-6026193,5112077
2013, -365,NA,NA,NA, 54.06,66.63,32.88,0,321,1050,3.70, 916,5.29,-6022255,5127134
2014, -564,NA,NA,NA, 78.32,84.85,14.88,0,476,1211,2.93,1079,4.68,-6106577,5105590
2018, -584,NA,NA,NA, 74.70,27.88,66.27,0,284, 896,4.48, 940,4.66,-6015536,5118563
2009, -592,NA,NA,NA, 62.62,67.15,32.40,0,339, 930,3.48, 991,4.20,-6042177,5116710
2019, -930,NA,NA,NA, 99.16,67.69,32.09,0,211, 962,4.20, 985,5.53,-5990054,5111845
2013, -593,NA,NA,NA, 80.95,88.21,10.49,0,479,1286,3.80,1064,5.42,-6139704,5084046
2012, -917,NA,NA,NA, 80.58,74.26,25.28,0,377, 887,6.51,1007,5.29,-6120477,5027290
2009,  730,NA,NA,NA, 70.43,76.95,23.03,0,437, 958,3.20,1042,3.91,-6049590,5130146
2010,  728,NA,NA,NA, 71.74,80.99,18.87,0,264, 880,6.50, 913,4.67,-6025266,5080340
2018, -599,NA,NA,NA, 85.18,61.29,36.97,0,263, 912,4.74, 950,4.91,-6023876,5106517
2006,-3056,NA,NA,NA,  6.80,26.03,72.00,0,307,1014,5.11, 866,3.70,-6045188,5115783
2006, -877,NA,NA,NA, 43.30,36.54,56.75,0,384,1042,4.95, 898,3.52,-6063489,5105127
2010,-1621,NA, 1,NA, 54.26,77.91,21.95,0,366, 915,5.95, 965,4.20,-6075767,5052773
2012,  763,NA,NA,NA, 70.69,71.96,27.85,0,505, 938,5.90,1044,4.70,-6125805,5037715
2007,-1829,NA,NA,NA, 71.98,83.05,16.66,0,473, 988,4.44,1013,4.53,-6153372,5048371
2010,-1084,NA,NA,NA, 65.16,66.72,33.18,0,457, 982,5.68,1061,4.03,-6119550,5033777
2016, -623,NA,NA,NA, 86.59,85.35,14.00,0,393,1025,5.77,1142,4.34,-6166808,5047676
2006,  717,NA,NA,NA, 47.28,33.74,66.22,0,336,1004,6.33, 893,4.90,-6073451,5028680
2018, -990,NA,NA,NA,125.69,52.58,47.19,0,300, 950,4.95, 989,5.08,-6009282,5097946
2009,  697,NA,NA,NA, 70.68,88.58,11.42,0,466,1098,3.80,1149,4.57,-6157079,5061112
2015, -699,NA,NA,NA, 81.38,93.01, 6.99,0,424, 952,4.67,1190,4.77,-6175611,5051846
2013, -685,NA,NA,NA, 66.84,67.48,32.38,0,495,1199,3.90,1011,5.38,-6128585,5048140
2007,  338,NA,NA,NA, 51.30,68.63,31.05,0,338, 857,4.46, 860,4.78,-6024803,5087984
2015,  392,NA,NA,NA, 75.46,39.81,57.89,0,377, 848,4.10, 993,4.25,-6055845,5087521
2008, -638,NA,NA,NA, 84.12,77.64,21.94,0,288, 996,4.41, 871,5.31,-6026656,5081961
2010, -964,NA,NA,NA, 55.16,25.52,66.73,0,434, 945,5.33, 986,3.57,-6066501,5078718
2008,-1215,NA,NA,NA, 84.44,70.08,27.91,0,232, 977,4.59, 865,5.42,-6015536,5092386
2005, -904,NA,NA,NA, 49.08,53.02,46.98,0,291, 808,4.41, 858,3.50,-6017158,5132231
2014, -594,NA,NA,NA, 79.60,78.16,21.85,0,445,1239,3.08,1094,4.81,-6109821,5110455
2015, -490,NA,NA,NA, 82.14,65.28,34.55,0,452, 892,4.25,1037,4.41,-6110979,5044896
2007, -831,NA,NA,NA, 68.04,72.63,27.38,0,360, 971,4.50, 948,4.53,-6088740,5122733
2018, 2250,NA,NA,NA, 71.17,28.48,66.47,0,236, 911,4.93, 951,5.08,-6016231,5106285
2013,-1003,NA,NA,NA, 69.07,65.52,32.03,0,355,1218,4.90,1020,6.35,-6183487,5021267
2018,-1033,NA,NA,NA, 85.78,70.58,29.39,0,290, 895,4.48, 945,4.65,-6003722,5122501
2015, -796,NA,NA,NA, 78.20,82.96,16.77,0,390, 947,4.90,1174,5.00,-6177001,5046518
2015, -799,NA, 1,NA, 42.48,38.91,60.93,0,322, 828,4.30, 968,4.42,-6038007,5102347
2005, -977,NA, 1,NA, 25.60,19.86,80.13,0,249, 777,5.04, 831,4.23,-6028973,5094934
2016,-1156,NA,NA,NA, 80.54,77.19,22.60,0,453, 969,4.85,1066,3.49,-6085960,5099567
2013, -427,NA,NA,NA, 70.62,79.27,20.32,0,502,1091,3.80, 949,5.30,-6082717,5045591
2015, -626,NA,NA,NA, 78.17,83.13,16.81,0,416, 941,4.70,1152,4.85,-6168198,5040727
2015,  455,NA,NA,NA, 76.76,55.02,44.57,0,417, 857,3.99,1005,4.10,-6058856,5086131
2017, -943,NA,NA,NA, 74.38,40.79,59.08,0,313,1164,4.70, 913,4.47,-6031057,5094239
2010, -698,NA,NA,NA, 64.04,86.83,13.04,0,479,1062,5.52,1143,4.00,-6150592,5053931
2012, -539,NA,NA,NA, 64.36,76.87,22.93,0,444, 870,5.76, 963,4.69,-6061636,5065282
2015, -522,NA,NA,NA, 77.60,82.35,17.64,0,461, 874,3.91,1086,4.02,-6083643,5094471
2016, -346,NA,NA,NA, 74.86,85.33,14.39,0,504, 991,4.90,1022,3.64,-6101018,5043506
2018,-1241,NA, 1,NA, 71.77,53.09,46.91,0,428, 960,4.00, 991,4.17,-6041945,5101189
2016,  871,NA,NA,NA, 81.84,87.25,12.59,0,449, 962,4.92,1078,3.51,-6088045,5110687
2016, -502,NA,NA,NA, 82.90,73.87,26.02,1,502,1004,4.84,1081,3.53,-6113759,5062039
2006,-2102,NA,NA,NA, 14.59,38.21,59.78,0,300,1013,5.20, 865,3.76,-6044494,5115320
2011, -626,NA,NA,NA, 69.04,48.05,51.93,0,322, 961,4.85, 965,4.26,-6043335,5116941
2016, -499,NA,NA,NA, 74.92,75.63,24.30,0,373, 986,5.56, 973,4.38,-6048200,5057406
2007,  853,NA,NA,NA, 64.66,65.23,34.55,0,181, 812,5.49, 827,5.83,-6031521,5071768
2017,  974,NA,NA,NA, 42.67,41.79,58.20,0,376,1088,4.17, 941,3.79,-6046115,5126208
2004, -954,NA, 1,NA, 46.62,73.52,25.58,0,347, 871,4.26, 868,5.14,-6091751,5033082
2015, -914,NA, 1,NA, 33.61,63.13,35.71,0,325, 820,4.00, 968,4.14,-6013452,5127829
2018, -599,NA,NA,NA, 76.60,24.76,67.55,0,258, 911,4.79, 949,4.96,-6024108,5105822
2008,-1701,NA,NA,NA, 72.86,92.11, 7.72,0,431,1313,4.21,1024,5.00,-6159627,5060186
2010,-1044,NA,NA,NA, 66.78,70.42,29.17,0,433, 956,5.80,1026,4.10,-6102871,5034240
2007,-1283,NA,NA,NA, 73.94,84.10,15.67,0,365, 975,5.12,1002,5.20,-6177696,5032619
2008,-1196,NA,NA,NA, 55.02,19.27,76.00,0,238, 987,4.28, 866,5.13,-6023876,5103969
2020, -846,NA,NA,NA, 77.18,62.43,37.55,0,385, 963,5.10,1032,3.89,-6031057,5103042
2014, -713,NA,NA,NA, 82.52,85.55,14.44,0,403,1218,3.21,1074,4.94,-6105882,5114625
2016, -834,NA,NA,NA, 78.60,70.93,29.07,0,455, 972,4.91, 998,3.69,-6081790,5057637
2013,-1405,NA,NA,NA, 68.12,78.14,21.80,0,321,1021,4.22, 900,5.73,-6031984,5090764
2018, -720,NA,NA,NA, 95.34,48.36,47.78,0,295,1042,5.29,1023,5.41,-6059088,5055089
2013, -787,NA,NA,NA, 68.06,77.55,22.43,0,459,1102,4.25, 950,5.71,-6116307,5026132
2020, -316,NA,NA,NA, 93.08,17.52,76.99,0,274, 963,5.89,1047,4.63,-6014842,5096324
2015, -767,NA, 1,NA, 51.87,80.83,19.11,0,433, 874,4.22, 997,4.38,-6088045,5053236
2021,  993,NA,NA,NA, 19.83,67.01,32.14,0,321,1071,7.00,1193,5.38,-6092910,5024279
2007,-1729,NA,NA,NA, 75.58,89.87, 9.84,0,396,1021,4.88,1013,4.92,-6164723,5061807
2014, -718,NA,NA,NA, 81.96,82.76,16.49,0,411,1217,3.16,1072,4.89,-6104956,5116710
2010,-1472,NA,NA,NA,105.07,81.24,18.77,0,269, 863,6.20, 900,4.27,-5992371,5122270
2013, -694,NA,NA,NA, 49.92,53.42,46.06,0,395,1042,4.12, 911,5.62,-6060941,5064124
2018,  471,NA,NA,NA, 76.88,84.36,15.60,0,449,1137,4.79,1083,4.98,-6165186,5039337
2014, -640,NA,NA,NA, 84.90,82.29,17.71,0,387,1212,3.28,1071,5.01,-6105187,5113467
2013, -502,NA,NA,NA, 73.94,84.17,15.63,0,493,1277,3.88,1061,5.42,-6148507,5062966
2005,-1229,NA,NA,NA, 51.76,44.80,55.19,0,293, 788,4.73, 840,3.89,-6020170,5109297
2016, -364,NA,NA,NA,103.46,78.94,20.72,0,394, 992,5.46, 978,4.31,-6046810,5057406
2007,  765,NA,NA,NA, 84.38,75.98,24.02,0,352, 856,4.48, 856,4.80,-6019011,5095629
2017, -551,NA,NA,NA, 84.36,91.85, 7.06,0,489,1317,4.49, 986,4.17,-6098238,5039105
2008, -602,NA,NA,NA, 71.68,67.77,30.99,0,343,1068,4.26, 874,5.12,-6077157,5051151
2016, -459,NA,NA,NA, 73.38,83.93,16.03,0,473, 977,4.62,1026,3.37,-6075535,5079413
2007, -981,NA,NA,NA, 55.46,74.74,25.24,0,446, 868,4.21, 915,4.51,-6082485,5045128
2022,-1370,NA,NA,NA, 68.70,51.71,48.02,0,409,  NA,  NA, 922,4.37,-6053065,5132231
2012, -369,NA,NA,NA, 91.72,71.80,27.74,0,326, 828,6.56, 943,5.45,-6052602,5054163
2013,-1058,NA,NA,NA, 78.42,82.04,17.63,0,438,1088,4.23, 937,5.73,-6106577,5032850
2010, -942,NA,NA,NA, 65.71,80.90,19.06,0,502, 964,5.40,1026,3.67,-6087118,5048140
2013, -828,NA,NA,NA, 73.62,75.56,24.44,0,512,1128,4.00, 966,5.47,-6116770,5031229
2018, 2803,NA,NA,NA, 16.00,77.03,22.64,0,328,1133,5.40,1063,5.53,-6092910,5024511
2013, -744,NA, 1,NA, 97.78,75.03,24.87,0,251, 990,4.39, 891,5.93,-5992603,5123660
2010,-1081,NA,NA,NA, 74.98,93.09, 6.90,0,421,1062,5.86,1143,4.35,-6159395,5066440
2018, 2079,NA,NA,NA, 61.52,52.06,46.62,0,302,1126,5.52,1057,5.63,-6092215,5024279
2018, -781,NA,NA,NA, 42.61,19.25,80.12,0,307, 910,4.30, 946,4.54,-6039165,5115783
2006,-2158,NA,NA,NA, 94.48,83.07,16.87,1,455,1069,4.87, 940,3.45,-6091751,5087753
2013, -760,NA, 1,NA, 75.90,57.28,41.73,0,233, 985,4.40, 887,5.93,-5992139,5124818
2016, -631,NA,NA,NA, 80.60,85.57,14.29,0,375, 961,5.28, 958,4.10,-6043104,5072927
2015,-1161,NA,NA,NA, 80.50,87.63,12.11,1,516, 904,3.83,1090,3.98,-6103103,5067135
2011,-1088,NA,NA,NA, 72.00,62.26,37.70,0,454, 990,5.09,1076,4.37,-6111674,5043043
2009,  581,NA,NA,NA, 96.86,78.57,21.30,0,321, 922,4.12, 953,4.87,-6025729,5082656
2014, 1069,NA,NA,NA, 72.25,60.50,39.03,0,326,1018,4.41, 926,6.00,-6075767,5027985
2019, -701,NA,NA,NA, 85.82,87.19,12.59,0,459,1290,3.50,1132,4.92,-6148507,5045823
2009,  559,NA,NA,NA, 70.32,91.37, 8.44,0,540,1113,3.40,1148,4.18,-6147349,5057174
2010, -401,NA,NA,NA, 71.08,86.37,13.58,0,410,1055,6.00,1143,4.56,-6173989,5049298
2013, -632,NA, 1,NA, 57.24,73.62,26.36,0,363,1030,4.30, 903,5.79,-6059551,5062502
2009, -487,NA,NA,NA, 81.07,29.75,67.67,1,439,1051,3.66,1101,4.39,-6121172,5075475
2014, -770,NA,NA,NA, 74.74,77.57,21.97,0,391,1221,3.24,1064,4.95,-6107967,5120416
2008, -379,NA, 1,NA, 59.50,89.92,10.08,0,283,1011,4.60, 865,5.46,-6039860,5068525
2012,  511,NA,NA,NA, 78.90,87.18,12.52,0,442, 879,6.30,1008,5.09,-6116307,5022889
2015, -523,NA,NA,NA, 82.28,89.49,10.50,0,402, 871,4.34,1141,4.35,-6108199,5115552
2013, -873,NA,NA,NA, 82.50,73.04,26.90,0,286, 990,4.53, 889,6.06,-6007429,5100494
2014, -608,NA,NA,NA, 84.69,54.48,45.09,0,263, 929,3.80, 933,5.32,-5991444,5121111
2011,  449,NA,NA,NA, 62.40,30.80,67.23,0,278, 951,5.30, 924,4.71,-6023181,5103042
2014, -785,NA,NA,NA, 79.34,91.06, 8.95,0,380,1149,3.09,1036,4.78,-6074609,5129219
2013, -840,NA,NA,NA, 58.11,31.51,68.32,0,264,1011,4.50, 889,6.02,-6035227,5089374
2017, -913,NA, 1,NA, 75.16,88.88,10.89,0,502,1296,4.56,1041,4.21,-6144337,5035630
2013, -852,NA,NA,NA, 63.47,51.75,48.11,0,385,1057,4.02, 916,5.56,-6074146,5065050
2010,-1040,NA, 1,NA, 44.02,74.57,25.39,0,173, 839,6.50, 875,4.59,-5976850,5131999
2011, 1341,NA,NA,NA, 88.72,79.65,20.27,0,195, 948,5.80, 884,5.24,-5979630,5122501
2008,-2060,NA,NA,NA, 70.14,90.48, 9.14,0,485,1291,3.83,1011,4.68,-6142021,5052773
2019, -923,NA,NA,NA, 81.92,57.84,41.16,0,292,1019,3.77,1021,5.14,-6012293,5097946
2021,  822,NA,NA,NA, 80.76,63.14,36.33,0,472, 955,5.59,1089,3.96,-6087350,5072927
2010, -870,NA,NA,NA, 77.64,76.66,23.28,0,432, 993,5.55,1057,3.92,-6112832,5058101
2009, -556,NA,NA,NA, 44.69,52.53,46.66,0,375, 929,3.84, 966,4.55,-6022255,5088216
2021,  871,NA,NA,NA, 85.40,76.86,23.02,0,478,1009,5.74,1141,4.21,-6132986,5065745
2010,-1053,NA,NA,NA, 78.56,56.19,43.61,0,444, 964,5.60,1029,3.91,-6103103,5046055
2019,  432,NA,NA,NA, 76.06,24.56,74.91,0,321,1036,3.37,1008,4.78,-6047273,5091459
2018, 1607,NA,NA, 1, 79.36,78.97,21.04,0,457,1142,4.69,1078,4.81,-6106809,5029375
2014, -617,NA,NA,NA, 75.86,93.12, 6.81,0,407,1231,3.19,1079,4.94,-6109589,5115552
2013, -493,NA,NA,NA, 93.68,88.48,11.46,0,223, 981,4.98, 873,6.50,-6028278,5080108
2008, -543,NA,NA,NA, 61.54,26.48,63.84,0,243, 987,4.28, 865,5.11,-6024339,5105127
2007, -964,NA,NA,NA, 57.60,70.64,29.20,0,336, 879,3.90, 877,4.10,-6020865,5128524
2014, 1567,NA,NA,NA, 75.46,84.64,15.10,0,497,1258,3.10,1129,4.89,-6141789,5068062
2015,  469,NA,NA,NA, 64.84,19.17,71.09,0,282, 821,4.40, 954,4.54,-6028973,5107212
2010,  701,NA,NA,NA, 75.40,79.78,20.20,0,430, 970,5.87,1056,4.23,-6126037,5028217
2018,  605,NA,NA,NA, 85.00,80.95,15.28,0,425,1138,4.91,1064,5.03,-6123488,5022889
2011, -618,NA,NA,NA, 52.28,75.09,24.77,0,283, 953,5.22, 922,4.63,-6018548,5108139
2007, -941,NA,NA,NA, 67.06,84.51,15.30,0,498, 884,3.97, 932,4.28,-6082717,5045360
2008,  463,NA,NA,NA, 67.90,70.57,28.87,0,350,1111,3.61, 943,4.43,-6057003,5122965
2012,  323,NA,NA,NA, 77.30,49.98,49.91,0,439, 924,5.90,1007,4.75,-6107736,5055321
2013, -935,NA,NA,NA, 81.04,91.94, 8.05,0,443,1206,3.73,1003,5.43,-6101944,5112308
2005,  478,NA,NA,NA, 70.38,71.92,28.03,0,338, 883,4.81, 958,3.87,-6091520,5121575
2010, 1142,NA,NA,NA, 10.80,26.03,72.00,0,307, 904,5.61, 954,3.84,-6045188,5115783
2020, -784,NA, 1,NA, 84.12,72.58,27.42,0,352,1173,6.10,1224,4.79,-6084570,5034240
2018, -879,NA,NA,NA,110.44,50.66,48.27,0,342, 966,4.80,1002,4.87,-6012757,5095397
2021,  666,NA,NA,NA, 84.80,87.26,12.58,0,494,1053,5.83,1184,4.24,-6122562,5047676
2017, -465,NA,NA,NA, 79.10,74.28,25.72,0,488,1317,4.40, 982,4.12,-6090593,5042811
2015, -682,NA,NA,NA, 82.72,92.82, 7.18,0,444, 904,4.61,1003,4.76,-6110979,5024279
2018,  947,NA,NA,NA, 79.84,88.53,11.39,0,472,1160,4.67,1093,4.78,-6098933,5028217
2007, -435,NA,NA,NA, 59.78,29.57,67.84,0,205, 841,4.50, 837,4.78,-5997699,5130609
2019,  695,NA,NA,NA, 75.80,40.83,59.03,0,376, 961,2.90, 968,4.29,-6034301,5125744
2012,  425,NA,NA,NA, 99.04,35.84,63.44,0,185, 824,6.77, 885,5.81,-5988664,5112077
2013, -946,NA,NA,NA, 66.32,22.56,75.83,0,352,1045,4.16, 906,5.69,-6073682,5065745
2015, -583,NA,NA,NA, 83.80,88.31,11.23,0,457, 866,3.96,1121,3.99,-6089667,5113930
2021,  806,NA,NA,NA, 78.41,63.25,36.57,0,300, 840,6.49, 994,4.73,-6030826,5089143
2010, 1331,NA,NA,NA, 69.34,79.73,20.16,0,480, 987,5.44,1058,3.79,-6112600,5046750
2021,  653,NA,NA,NA, 86.48,87.98,10.91,0,485, 958,5.52,1093,3.88,-6087118,5072232
2016, -651,NA,NA,NA, 65.38,56.14,43.86,0,430, 962,4.92, 989,3.72,-6072987,5065514
2004,-1193,NA,NA,NA, 54.48,55.07,44.93,0,362, 824,2.99, 914,3.90,-6031289,5128524
2007,-1305,NA,NA,NA, 55.74,71.75,28.23,0,428, 862,4.26, 908,4.60,-6081790,5045591
2014, -670,NA,NA,NA, 77.40,90.79, 9.21,0,427,1147,2.86,1046,4.55,-6071134,5124586
2019, -861,NA,NA,NA, 84.98,94.67, 5.31,0,504,1284,3.23,1128,4.65,-6149666,5067367
2010,-1015,NA,NA,NA, 60.98,34.68,62.46,0,347, 929,5.70,1015,3.97,-6069281,5130378
2016, -946,NA, 1,NA, 28.49,68.51,31.49,0,293, 904,5.02, 931,3.82,-6007429,5125744
2010,-1122,NA,NA,NA, 78.16,67.46,32.09,0,451, 970,5.65,1040,3.97,-6107967,5037715
2018, 1607,NA,NA,NA, 66.24,87.06,12.94,0,443,1154,4.81,1102,4.89,-6075535,5035398
2011,  870,NA,NA,NA, 76.92,86.17,13.69,0,336, 977,5.43, 943,4.82,-6019243,5084741
2017, -925,NA,NA,NA, 74.28,45.26,54.73,0,367,1174,4.47, 927,4.17,-6042872,5090533
2016, -479,NA,NA,NA, 80.44,88.28,11.72,0,474, 999,5.22,1034,3.96,-6120014,5028217
2017, -986,NA, 1,NA, 62.19,68.51,31.45,0,411,1264,4.60, 945,4.33,-6066964,5057637
2013,-1474,NA,NA,NA, 75.24,79.42,20.19,0,430,1086,4.38, 939,5.85,-6114685,5025669
2020,-1067,NA,NA,NA, 89.94,70.01,29.94,0,271, 966,5.90,1050,4.67,-6014842,5095397
2015,-1107,NA,NA,NA, 78.60,81.22,18.50,0,518, 946,4.06,1200,4.16,-6144801,5070842
2011, -502,NA,NA,NA, 63.90,69.62,30.37,0,374, 973,4.63, 976,4.05,-6043104,5117405
2013, -407,NA,NA,NA, 70.90,70.00,29.59,0,452,1135,3.68, 968,5.20,-6086192,5072463
2010, -308,NA,NA,NA, 64.33,38.76,61.13,0,318, 886,5.50, 934,3.70,-6020170,5128293
2019, -337,NA,NA,NA, 67.90,57.69,41.49,0,395,1133,3.48,1028,4.89,-6114917,5114393
2015, -950,NA,NA,NA, 82.08,96.04, 3.70,0,501, 941,4.11,1198,4.19,-6144569,5072695
2006,-1589,NA,NA,NA, 71.42,94.44, 5.29,0,439,1102,5.45,1029,4.05,-6158932,5069452
2008, -704,NA,NA,NA, 68.20,32.72,67.14,0,280,1009,3.90, 882,4.75,-6025729,5112540
2012, -769,NA,NA,NA, 66.96,71.03,28.26,0,421, 871,6.08, 986,4.89,-6101249,5040032
2017, -576,NA,NA,NA, 82.08,80.48,19.18,0,486,1317,4.48, 984,4.20,-6098238,5038410
2021,  573,NA,NA,NA, 54.60,62.63,36.97,0,441, 920,5.60,1047,4.02,-6091288,5091923
2011,  657,NA,NA,NA, 77.28,86.70,13.08,0,467,1036,5.21,1137,4.49,-6143411,5033777
2021, -998,NA,NA,NA, 81.66,67.39,32.40,0,330,1042,6.82,1169,5.21,-6086192,5033082
2010, -947,NA,NA,NA, 76.78,77.46,22.36,0,481, 967,5.45,1032,3.76,-6099628,5044201
2017,-1604,NA,NA,NA, 60.88,52.47,47.53,0,370,1084,4.19, 925,3.82,-6034532,5125976
2010,  597,NA,NA,NA, 67.93,76.01,23.71,1,445,1028,5.61,1102,4.04,-6133681,5055321
2008, -625,NA,NA,NA, 66.68,70.55,29.45,0,361,1010,4.01, 891,4.87,-6022718,5088216
2013, -468,NA,NA,NA, 68.44,72.03,27.55,0,379,1038,4.18, 907,5.68,-6064184,5061807
2019, -922,NA,NA,NA, 85.18,88.23,11.74,0,494,1284,3.28,1127,4.68,-6149897,5066904
2013, -639,NA,NA,NA, 78.60,92.30, 7.67,0,424,1196,3.78, 996,5.46,-6098238,5114393
2008,  431,NA,NA,NA, 62.54,68.02,31.83,0,352,1018,3.87, 888,4.72,-6034996,5091228
