year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2010, 984.2, 74.70,75.9,21.40,0,236, 872,6.61, 902,4.60, 983,4.71, 831,5.01,28.5,63.0,39.2,60.0,45.0,58.0,23.5,58.0
2019,2680.8, 26.45,67.2,32.54,0,405, 977,2.90, 908,3.92,1086,4.10, 925,4.70,48.6,57.1,37.3,59.0,57.7,59.0,36.8,57.1
2007,1420.4,  7.36,81.2,18.32,0,431, 872,4.52,1035,5.71, 837,5.08, 880,4.00,31.0,59.0,51.1,63.0,25.5,59.0,38.2,60.0
2009, 524.4, 68.62,22.5,69.07,0,251, 885,3.96, 984,4.09, 850,4.40, 989,5.49,38.7,58.0,46.4,57.0,27.0,57.0,44.6,60.0
2012, 538.0, 36.40,23.8,73.51,0,300, 904,5.86, 956,5.03, 904,5.71, 924,3.71,30.9,59.0,40.3,60.0,34.5,61.0,43.7,58.0
2007, 980.4, 71.52,72.0,27.98,0,475, 876,4.10,1037,5.20, 847,4.50, 890,3.49,33.1,59.0,52.9,62.0,28.4,58.0,41.0,60.0
2010, 501.8, 78.88,96.2, 3.61,0,491,1053,5.39,1097,3.59,1292,3.74, 994,4.19,53.0,63.0,64.4,61.0,82.3,60.0,45.4,59.9
2006, 581.2, 60.74,76.5,23.52,0,271, 981,5.89, 775,5.25, 780,4.15, 930,4.09,43.3,61.0,16.5,57.0,25.8,59.0,40.9,59.0
2011, 361.6, 26.14,46.0,53.12,0,269, 942,5.12, 883,5.82, 901,3.82,1018,4.00,38.3,60.0,31.5,61.0,40.5,58.0,50.2,57.0
2012,1068.5, 69.82,70.8,29.18,0,368, 922,5.51, 971,4.65, 917,5.35, 936,3.35,34.1,59.0,43.0,60.0,37.1,61.7,46.2,58.0
