year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2016, 572,113.39,78.9,20.51,0,412,1003,5.50, 903,4.76,1027,3.90,1027,4.50,42.6,60.0,34.2,59.0,53.7,62.0,51.0,62.0
2018, 797, 75.29,35.9,63.88,0,272, 953,5.09,1188,5.10, 937,5.63, 842,4.89,38.6,61.0,65.3,61.0,34.2,59.0,26.0,58.0
2016, 838, 81.84,78.6,21.26,0,492,1004,5.20, 920,4.30,1093,3.30,1142,4.10,45.0,59.0,38.6,59.0,62.8,61.0,64.4,62.0
2008,1003,103.67,89.3,10.54,0,188, 945,4.69, 836,4.92, 977,6.09, 764,5.48,41.4,58.0,24.7,58.0,42.3,62.0,15.0,58.0
2005, 875, 60.96,56.1,43.95,0,367, 848,4.40, 847,3.20, 997,3.20, 882,4.19,27.0,56.0,35.8,58.0,50.0,58.0,37.9,59.0
2006, 871, 57.85,84.1,15.94,0,441,1101,5.47, 951,4.81, 986,3.73,1137,3.61,58.7,63.0,38.4,58.0,50.3,60.0,65.2,59.0
2010,1722, 69.22,74.1,25.45,0,382, 916,5.72, 966,3.77,1059,3.88, 853,4.22,36.7,62.0,49.1,59.0,56.6,58.0,29.3,58.0
2018,1023, 76.67,60.5,39.47,0,409, 923,3.90,1113,4.00, 932,4.59, 841,3.70,38.4,59.0,60.3,59.0,37.1,57.0,29.1,56.0
2013, 742, 90.32,68.5,31.54,0,242, 983,4.71, 833,6.54, 948,5.71, 864,6.46,43.9,61.0,21.4,60.0,38.3,62.0,28.2,63.0
2019, 610, 69.70,55.8,44.20,0,434,1164,3.15,1043,4.31,1238,4.35, 966,4.92,67.9,58.0,51.6,61.0,74.2,61.0,40.8,58.0
2010,1008, 25.72,54.5,45.35,0,409, 926,5.20, 947,3.20,1099,3.34, 926,3.70,39.3,62.0,48.5,59.0,61.8,58.0,38.1,57.0
2013, 392, 79.69,82.1,17.84,0,459,1251,4.20, 992,6.20,1078,5.30,1053,5.70,74.6,62.0,42.5,62.0,54.8,63.0,52.2,63.0
2013, 483, 58.22,52.7,46.81,0,399,1079,3.74, 896,5.63, 974,4.79, 929,5.43,56.6,60.0,31.6,60.0,44.0,61.0,38.6,62.0
2015, 537, 76.44,45.0,54.17,0,398, 851,3.94,1019,3.04,1076,3.67, 901,5.55,29.9,56.0,53.6,59.0,56.3,59.9,32.2,60.0
2016, 815, 73.62,13.0,76.23,0,234, 919,5.80, 822,5.00, 946,4.11, 996,4.79,31.9,58.0,23.6,57.0,43.5,60.0,45.3,60.0
2012,1087, 58.62,83.9,15.97,0,520, 905,5.80, 997,4.90, 986,5.40,1085,3.50,34.5,62.0,48.3,63.0,46.1,63.0,63.2,60.0
2015, 815, 79.98,76.6,23.34,1,469, 891,4.02,1093,3.02,1145,3.77, 935,5.69,35.4,58.0,62.5,60.1,64.4,61.0,36.9,61.0
2016, 653, 83.96,87.2,12.69,0,418, 992,5.37, 893,4.57,1024,3.67,1044,4.35,42.3,59.0,34.0,59.0,54.2,61.0,53.3,62.0
2015, 785, 79.96,85.9,14.02,0,428, 900,4.64,1051,3.66,1085,4.42, 878,6.36,35.6,59.0,57.6,61.0,57.9,62.0,30.1,62.0
2016, 571, 79.20,73.6,26.37,0,491, 987,4.92, 893,4.10,1062,3.10,1106,3.85,43.7,59.0,36.0,58.0,59.7,61.0,61.0,61.0
2013, 570, 81.94,84.3,15.63,0,392,1186,3.86, 984,5.95,1010,5.02, 971,5.70,68.9,62.0,43.0,62.4,48.3,63.0,44.9,64.9
2013, 566, 60.58,68.9,31.09,0,329,1015,4.50, 838,6.31, 954,5.50, 897,6.16,48.8,61.0,23.6,61.0,40.3,62.0,33.2,63.0
2006,1979, 73.62,89.0,10.89,0,396,1097,5.73, 955,5.05, 986,3.95,1142,3.83,58.0,63.0,38.8,59.0,50.2,61.0,65.7,60.0
2013, 896, 88.42,73.8,25.89,0,444,1117,3.97, 909,5.94, 983,5.05, 966,5.56,61.2,61.0,33.8,61.5,45.6,62.0,42.9,62.6
2019,1838, 64.52,25.1,73.70,0,277, 920,3.20, 874,4.30,1061,4.43, 894,5.00,40.0,56.0,31.2,58.0,52.6,58.0,31.1,56.0
2013, 498, 67.44,76.3,23.51,0,388,1043,4.06, 863,5.91, 970,5.10, 915,5.71,52.8,61.0,27.6,61.0,43.4,62.0,36.5,62.9
2006,1000, 63.82,69.9,29.94,0,335,1053,5.39, 878,4.79, 896,3.51,1017,3.52,54.0,63.0,31.4,58.3,42.0,60.0,53.2,60.0
2018,1040, 78.08,56.7,43.18,0,406, 955,4.08,1159,4.15, 948,4.74, 852,3.90,41.6,59.0,65.1,60.0,38.5,57.0,30.1,56.0
2013, 574, 67.50,28.8,70.95,0,353,1085,3.58, 926,5.50, 970,4.60, 908,5.38,56.7,59.0,34.5,59.0,42.8,60.0,36.2,62.0
2010, 793, 46.28,26.5,72.36,0,306, 890,5.70, 908,3.70,1018,3.80, 864,4.15,32.8,61.0,41.9,58.0,50.8,57.0,29.2,56.0
2013,1451, 84.34,85.5,14.49,0,480,1181,4.11, 945,6.06,1030,5.16,1018,5.57,67.9,62.0,37.9,62.0,50.6,63.0,48.6,63.0
2013, 907, 39.44,80.6,19.37,0,262, 991,4.30, 858,6.19, 957,5.33, 860,6.13,45.8,60.0,25.4,60.0,40.3,61.0,29.1,63.0
2017,1095, 63.62,13.5,75.79,0,285,1158,4.81, 929,5.37, 832,4.57, 962,3.68,62.7,60.0,34.0,58.0,25.6,57.0,45.9,59.8
2016, 809, 77.58,71.7,28.27,0,497, 996,4.88, 899,4.05,1054,3.10,1094,3.82,44.6,59.0,36.5,58.0,59.0,61.0,60.0,61.0
