 -812, 71.2,75.4,24.13,0,473,1175,3.37
 -596, 79.2,86.1,13.87,0,431,1110,4.38
-1510, 69.2,25.2,74.18,0,265, 877,6.24
 -429, 56.7,71.8,28.21,0,500,1004,5.10
 -864, 77.0,55.4,44.55,0,369,1056,5.21
-2089, 79.5,77.2,22.60,0,453, 874,3.95
 -793, 76.9,92.0, 7.95,0,425,1061,5.85
 -904, 60.7,82.9,17.10,0,285, 841,4.80
 -867, 79.9,85.6,14.31,0,459,1132,3.50
 -531, 72.9,27.8,70.65,0,319, 883,4.20
 -540, 80.5,86.3,13.41,0,401,1278,4.41
 -350, 77.6,82.8,17.16,0,484, 910,4.30
 -869, 81.2,82.8,16.83,0,497, 928,4.20
-1020, 68.1,62.9,36.92,0,451,1105,3.52
 -150, 46.2,68.8,31.20,0,415,1017,3.85
 -840, 68.4,76.5,23.48,0,489, 850,4.50
 -832, 74.3,63.1,36.38,0,279,1164,4.88
-1242, 78.7,78.2,21.65,0,504,1111,3.91
-2671, 44.8,29.0,60.36,0,306, 821,4.50
-1019, 80.9,86.0,13.89,0,358,1266,4.89
-1442, 80.6,89.2,10.78,0,358, 963,5.15
 -861, 57.6,75.2,24.75,0,239, 979,4.47
 -650,100.0,72.0,27.97,0,286, 839,6.33
-1589, 76.0,76.6,23.43,0,469,1106,4.13
 -522, 74.8,86.6,13.32,0,441,1134,4.34
 -808, 78.8,86.2,13.68,0,439,1173,3.50
 -629, 91.1,83.3,16.53,0,432, 960,5.16
 -351, 55.9,48.3,51.59,0,355, 932,3.40
 -627, 65.0,61.1,38.87,0,431,1086,3.50
-1915, 17.0,35.4,63.32,0,269, 916,3.25
 -700, 83.1,28.9,71.01,0,283,1005,3.45
 -570, 75.7,81.6,18.43,0,437, 996,5.33
-1636, 76.3,79.0,21.05,0,422, 868,4.21
 -492, 80.9,85.8,14.13,0,396, 870,4.35
 -968, 61.2,75.5,24.48,0,495, 903,6.01
 -657, 80.8,69.2,30.31,0,366, 851,4.40
 -464, 82.5,70.9,29.10,0,399, 950,5.27
 -707, 67.5,77.1,22.76,1,503,1093,5.10
 -705, 88.4,58.3,41.65,0,266,1161,4.98
 -868, 92.0,24.4,13.17,0,367, 831,6.73
 -792, 80.3,87.6,12.36,0,424,1193,3.77
 -515, 73.4,89.4,10.08,0,259, 905,4.55
 -590, 70.2,74.9,25.06,0,370,1040,4.03
-1247, 94.1,32.2,65.82,0,378,1268,5.33
 -636, 70.0,55.0,44.28,0,426, 861,4.62
 -772, 75.8,90.7, 9.34,0,402,1158,3.61
 -549, 48.7,84.1,15.86,0,441,1024,5.34
-1257, 90.1,35.0,63.56,0,376,1268,5.33
-1183, 78.8,82.9,16.88,0,461,1100,4.14
 -462, 81.1,89.2,10.62,0,469, 891,4.18
 -510, 87.5,79.8,19.90,0,441, 981,5.13
-1064, 91.1,44.2,52.76,0,366,1266,5.38
 -532, 67.2,68.6,31.22,0,272, 871,5.79
 -578, 73.1,82.2,17.65,0,446,1189,3.56
-1287, 64.6,82.3,17.66,0,462, 975,5.67
 -410, 60.3,29.4,68.55,0,352,1046,4.19
 -423, 48.6,48.8,51.12,0,391,1075,3.64
 -707, 70.0,76.9,23.12,0,472, 916,5.90
 -581, 72.4,80.4,19.45,0,419,1062,4.22
 -978, 72.0,62.2,37.65,0,404, 889,4.45
 -953, 62.2,63.6,36.25,0,452,1132,3.51
 -616, 79.7,74.8,25.13,0,432, 870,4.09
 -544, 73.8,67.9,31.25,0,355,1016,5.00
 -405, 66.4,82.0,17.89,0,374, 857,5.98
-1583, 67.4,70.1,29.89,0,329, 933,3.02
 -860, 87.0,23.8,73.54,0,371,1266,5.37
 -537, 86.6,18.1,81.41,0,265, 818,6.70
 -836, 80.3,91.7, 7.82,0,496,1262,4.54
 -706, 61.0,50.6,49.41,0,385, 852,4.33
 -584, 74.7,27.9,66.27,0,284, 896,4.48
 -734, 79.4,84.1,15.90,0,375,1179,3.88
-1185, 77.3,81.4,18.64,0,497, 971,5.40
 -730, 80.4,95.5, 4.19,1,482,1178,2.83
 -609, 79.3,81.4,18.64,0,497, 897,5.77
-1471, 78.5,87.6,12.11,1,516,1178,3.60
-1965, 79.2,63.8,35.37,0,408, 867,4.25
 -663, 90.5,66.6,33.21,1,430,1057,5.08
 -787, 73.9,89.8,10.20,0,381,1218,3.26
 -670, 83.9,41.3,57.25,0,429,1007,4.25
 -499, 74.9,75.6,24.30,0,373, 986,5.56
-1141, 83.7,66.0,33.89,0,378,1137,3.40
 -401, 56.7,48.5,50.66,0,204, 841,4.50
-1412, 83.9,79.8,20.21,0,387, 858,4.35
 -919, 76.4,46.4,53.58,0,389,1056,3.20
 -798, 65.9,76.0,24.04,0,303,1018,4.40
 -450, 84.8,80.2,19.51,0,406, 879,4.38
 -518, 73.6,72.5,27.35,0,336, 967,6.98
 -611, 76.5,91.9, 7.84,0,440,1264,3.40
-1736, 79.9,82.8,16.96,0,482,1185,3.60
-1046, 56.7,30.1,68.54,0,313, 879,4.18
-1901, 74.1,74.3,25.60,0,391, 934,5.70
 -834, 95.8,68.6,31.31,0,349,1007,6.10
 -717, 75.3,78.5,21.48,0,370, 983,2.94
 -870, 68.7,91.5, 8.26,0,498,1228,3.95
 -489, 64.6,81.7,18.14,0,364,1193,4.05
-1833, 72.3,85.4,14.30,0,432,1104,5.50
-1071, 73.4,21.4,77.10,0,325, 934,5.13
 -466, 61.6,71.3,28.71,0,388, 926,5.30
 -568, 68.7,14.9,74.32,0,256, 845,4.53
 -987, 65.9,70.1,29.83,0,276, 992,4.12
 -837, 74.4,87.7,12.01,0,464,1107,5.31
 -804, 68.3,65.7,34.27,0,466, 904,6.03
-1071, 78.1,90.2, 9.64,0,388,1105,4.31
 -832, 58.5,35.2,63.82,0,411, 938,5.35
