magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,driver_class
-1275, 79.76,63.2,35.6,0,265, 893,5.20,1
 -508, 96.96,75.5,23.4,0,198, 966,4.94,1
 -767, 51.87,80.8,19.1,0,433, 874,4.22,1
-1244, 68.92,71.2,28.8,0,370, 859,4.47,1
 -622, 62.65,75.2,24.7,0,324, 909,5.75,1
-1597, 32.12,25.5,70.4,0,312,1057,3.71,1
 -677, 60.36,76.7,23.3,0,374, 994,4.47,1
 -338, 61.80,13.9,75.3,0,272, 872,6.00,1
 -858, 81.00,70.5,29.3,0,337, 893,5.25,1
 -543, 48.00,51.2,48.8,0,355, 972,4.70,1
-2139, 57.90,79.9,20.0,0,429,1101,5.50,1
-1474, 61.24,71.4,28.6,0,370, 897,4.00,1
-1175, 61.94,71.6,28.3,0,298, 882,4.32,1
 -945, 84.30,46.9,53.1,0,433,1077,2.90,1
 -615, 84.84,50.0,48.8,0,210, 911,3.90,1
 -888, 62.74,63.8,36.1,0,395, 982,4.50,1
 -985, 86.30,36.4,63.5,0,367, 960,2.90,1
 -404, 55.88,31.3,67.6,0,307, 925,3.64,1
-1009, 42.12,56.3,43.6,0,408,1263,4.60,1
 -375, 63.48,67.7,31.9,0,311, 905,6.49,1
 -732, 49.25,32.5,64.6,0,292, 820,4.29,1
-1580, 85.45,72.5,27.5,0,290, 924,3.25,1
 -791, 76.64,69.8,30.2,0,294, 820,4.27,1
 -965, 54.73,45.1,53.7,0,316,1024,5.00,1
 -576, 56.69,56.2,42.9,0,298, 884,5.40,1
 -632, 63.66,65.4,34.5,0,385, 981,4.60,1
 -881, 78.40,27.2,71.0,0,315, 912,5.00,1
-1472, 40.48,31.4,68.5,0,299, 889,5.73,1
 -486, 52.96,58.3,41.5,0,353, 918,3.30,1
-1071, 56.18,35.5,63.3,0,366,1017,6.10,1
-1977, 10.83,28.0,65.0,0,306,1055,3.80,1
 -956, 74.44,79.6,20.1,0,448, 966,5.74,1
 -928, 66.51,19.9,77.5,0,283, 898,5.00,1
-1150, 13.93,32.2,67.3,0,288,1002,5.20,1
 -963, 43.55,38.5,60.1,0,341, 890,4.10,1
-1300, 65.56,70.6,29.3,0,355,1027,4.30,1
 -587, 58.86,84.0,16.0,0,272, 983,4.67,1
 -726, 59.15,61.1,38.1,0,335, 834,4.72,1
-1044, 40.14,46.0,53.1,0,382, 925,5.30,1
 -875, 55.50,50.0,50.0,0,398, 927,5.24,1
-1140, 41.89,35.2,64.0,0,374, 980,4.58,1
 -451, 67.70,23.5,76.4,0,350,1084,3.60,1
-1152, 78.21,38.2,61.7,0,375, 899,4.00,1
 -636, 61.90,57.7,41.5,0,395,1219,3.90,1
 -497, 57.00,33.0,65.8,0,398, 887,3.90,1
-1882, 96.80,68.6,31.3,0,349, 849,4.93,1
 -545, 57.22,61.7,37.6,0,319,1025,5.00,1
 -733,106.96,70.1,29.7,0,263, 992,4.32,1
 -752, 26.76,44.7,53.9,0,307,1003,4.30,1
 -787, 48.85,34.8,63.2,0,385,1082,4.10,1
 -519,116.74,80.0,19.8,0,314, 982,5.97,1
-1263, 52.93,74.0,26.0,0,331,1376,5.47,1
 -540, 69.51,66.9,31.1,0,297, 884,5.40,1
 -374, 58.93,41.6,57.7,0,377, 945,3.30,1
 -873, 79.52,64.5,35.0,0,402, 954,4.10,1
 -779, 55.62,31.3,68.1,0,284, 884,5.80,1
 -883, 78.88,20.8,77.0,0,211, 763,5.44,1
-1098, 62.88,65.2,34.8,0,392, 835,4.11,1
-1241, 71.77,53.1,46.9,0,428, 960,4.00,1
 -445, 32.29,62.0,38.0,0,329,1130,3.89,1
 -550, 63.12,75.1,24.9,0,332,1026,4.95,1
 -990, 60.30,59.8,40.2,0,408, 929,5.20,1
-1048, 29.28,60.5,39.5,0,341,1097,4.90,1
 -434, 60.82,81.1,18.9,0,486,1002,5.20,2
 -633, 73.80,87.6,12.4,0,469, 998,5.22,2
 -595, 71.10,86.2,13.8,0,469, 998,5.26,2
 -566, 78.50,75.6,24.4,0,430, 987,5.44,2
 -737, 82.04,71.8,27.6,0,454,1133,4.62,2
 -966, 85.76,88.5,11.4,0,389,1135,5.11,2
