year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2004,-1338.4, 15.46,37.815,61.375,0,183, 759,4.00, 917,4.00, 781,5.00, 814,5.80,23.3,58.0,38.8,58.0,24.4,59.0,23.3,59.0
2004,-1104.4, 49.18,65.514,34.388,0,380, 843,3.00, 988,3.00, 879,3.90, 929,4.80,35.9,57.8,49.4,57.0,38.1,59.0,38.9,59.0
2004, -500.1, 42.62,19.415,78.533,0,310, 818,3.22, 964,3.30, 851,4.20, 897,5.10,31.9,57.0,45.7,57.0,33.9,58.0,34.3,58.4
2004, -429.7, 59.06,26.994,71.385,0,311, 818,3.22, 964,3.30, 851,4.21, 897,5.10,31.9,57.0,45.8,57.0,33.9,58.0,34.3,58.8
2004,-1882.8, 28.12,31.208,60.624,0,309, 816,3.30, 963,3.30, 849,4.20, 894,5.10,31.6,57.0,45.7,57.0,33.6,58.0,33.9,58.0
2004,-1762.0, 43.84,29.022,60.362,0,306, 815,3.30, 963,3.30, 848,4.22, 894,5.10,31.5,57.0,45.6,57.0,33.5,58.0,33.8,58.1
2004,-1913.3,  6.83,28.031,65.023,0,306, 815,3.30, 963,3.30, 848,4.27, 893,5.10,31.5,57.0,45.6,57.0,33.5,58.0,33.8,58.2
2004,-1928.1, 39.89,21.365,67.570,0,307, 815,3.30, 963,3.30, 848,4.27, 893,5.10,31.5,57.0,45.6,57.0,33.5,58.0,33.8,58.6
2004,-2248.5, 17.88,21.934,69.529,0,315, 816,3.25, 964,3.30, 850,4.21, 895,5.10,31.8,57.0,45.8,57.0,33.8,58.0,34.1,59.0
2004,-1766.1,  4.80,26.026,71.999,0,307, 814,3.30, 962,3.31, 848,4.24, 893,5.11,31.5,57.0,45.5,57.0,33.5,58.0,33.7,58.8
2004,-1561.3,  7.87,24.570,71.138,0,301, 814,3.30, 962,3.31, 847,4.30, 891,5.15,31.2,57.0,45.4,57.0,33.2,58.0,33.4,58.7
2004,-1686.4, 12.59,28.348,61.758,0,302, 814,3.30, 962,3.30, 847,4.30, 891,5.20,31.2,57.0,45.4,57.0,33.2,58.0,33.4,59.0
2004,-1532.3, 12.59,38.207,59.781,0,300, 813,3.30, 962,3.39, 846,4.30, 890,5.20,31.1,57.0,45.3,57.0,33.1,58.0,33.3,59.0
2004,-1485.7, 33.33,31.749,64.720,0,298, 813,3.32, 961,3.40, 846,4.30, 890,5.20,31.0,57.0,45.3,57.0,33.1,58.0,33.2,58.8
2004,-1624.7, 11.93,32.207,67.309,0,288, 798,3.40, 948,3.40, 830,4.33, 870,5.20,29.1,57.0,43.6,57.0,31.1,58.0,30.8,58.0
2004,-1897.1,  7.09,24.862,73.730,0,297, 811,3.40, 962,3.40, 843,4.40, 885,5.20,30.8,57.0,45.4,57.0,32.8,59.0,32.7,59.0
2004,-1703.2, 12.52,25.798,73.473,0,298, 810,3.40, 961,3.40, 842,4.36, 884,5.20,30.7,57.0,45.3,57.0,32.7,59.0,32.6,59.0
2004, -798.5, 55.60,78.330,21.662,0,306, 802,3.31, 953,3.36, 834,4.30, 873,5.16,29.9,57.0,44.4,57.0,31.8,58.0,31.5,59.0
2004,  692.8, 59.76,37.946,61.996,0,257, 766,3.90, 933,3.90, 782,4.82, 810,5.62,24.9,58.0,41.3,58.0,25.4,60.0,23.8,60.0
