year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2018, -639, 73.96,37.66,62.28,0,331, 916,4.31,1121,4.41, 921,4.98, 832,4.13,36.3,59.0,59.6,59.0,34.5,57.0,26.7,56.0
2009,  372, 72.96,89.72, 9.98,0,472,1107,3.80,1299,3.95, 985,4.40,1103,5.30,64.9,61.0,82.6,60.0,44.0,60.0,59.5,63.0
2013,-1833, 78.50,88.45,11.41,1,533,1182,3.51, 965,5.45,1029,4.59,1009,5.11,68.9,61.0,41.0,61.0,51.3,62.0,48.9,63.0
2005,  839, 54.18,38.87,59.46,0,340, 952,5.52,1003,4.50,1147,4.37,1009,5.62,36.2,58.0,49.6,60.0,64.3,59.0,48.8,62.0
2016, -794, 79.98,70.59,29.40,0,480,1002,5.24, 917,4.35,1091,3.34,1140,4.14,44.7,59.0,38.2,59.0,62.4,61.0,64.0,62.0
2014, 1512, 62.52,80.54,19.18,0,537,1277,2.96,1292,3.71,1035,5.71,1103,4.80,82.4,62.0,80.3,62.0,48.7,63.0,58.8,63.0
2010,-1881, 73.20,63.09,36.41,0,420, 962,5.74,1047,3.84,1163,3.98, 878,4.37,42.0,63.0,57.9,60.0,67.7,59.0,32.3,58.0
2011,  527,107.20,77.14,22.82,0,380, 989,5.18, 910,5.91, 932,3.81,1017,3.95,44.6,62.0,35.1,63.0,44.7,60.0,51.0,58.0
2010, -513, 87.32,82.51,17.39,0,422,1052,5.79,1103,3.99,1302,4.19, 993,4.59,51.7,63.0,64.0,61.0,82.2,60.0,44.2,60.0
2014, -652, 80.96,91.57, 8.12,0,426,1160,2.94,1174,3.61, 978,5.64,1004,4.74,69.2,61.0,67.3,61.0,41.8,61.0,47.5,62.0
2019, 2556, 43.78,58.21,41.72,0,398, 976,2.90, 907,3.99,1085,4.14, 924,4.71,48.4,57.1,37.1,59.0,57.4,59.0,36.5,57.1
2010,-1003, 62.08,84.77,15.17,0,497, 999,5.51,1104,3.62,1227,3.80, 909,4.20,46.8,63.0,64.6,60.0,75.4,59.0,36.4,59.0
2019, -198, 98.58,78.60,21.26,0,412,1150,3.43, 988,4.53,1158,4.73, 979,5.33,68.1,61.0,47.5,62.0,67.1,63.0,43.6,60.7
2007, -490, 62.46,53.11,46.89,0,363, 863,4.19,1007,5.20, 797,4.60, 796,3.50,29.8,57.0,48.0,61.0,21.2,56.0,29.5,58.0
2013, -565, 63.48,48.66,51.00,0,273,1012,4.50, 842,6.35, 943,5.51, 881,6.20,47.5,60.0,23.2,60.0,38.4,62.0,30.9,62.0
2019, -889, 76.94,73.78,26.04,0,364,1053,3.30, 963,4.46,1177,4.51, 943,5.10,54.6,57.0,41.6,60.0,66.1,60.0,36.9,58.0
2013, -468, 81.16,78.46,21.21,0,406,1049,4.31, 852,6.21, 961,5.31, 934,5.91,53.9,61.3,26.8,62.0,42.7,63.0,38.7,63.0
2015, -503, 80.00,64.94,34.66,0,410, 889,4.40,1250,3.29,1233,3.96,1009,6.06,36.3,60.0,79.5,63.0,74.2,63.0,46.1,63.0
2016, -700, 79.36,83.26,16.75,0,477, 999,5.27, 916,4.40,1088,3.37,1138,4.19,44.4,59.6,38.1,59.0,62.1,61.0,63.7,62.0
2013, -465, 81.42,82.12,17.40,0,381,1235,4.69, 973,6.67,1069,5.69,1041,6.09,71.6,62.0,39.0,62.0,52.5,63.0,49.4,63.0
2007, -768, 70.68,68.77,30.96,0,453, 954,3.92,1074,4.88, 890,4.22, 893,3.08,41.2,58.0,56.8,61.0,33.1,57.0,42.0,59.0
2017, 1277, 70.17,28.48,66.47,0,236,1124,4.99, 911,5.53, 819,4.73, 940,3.88,58.5,60.0,31.5,58.0,23.7,57.0,43.0,60.0
2005, -932, 68.36,79.38,20.34,0,405, 891,4.47, 905,3.21,1036,3.21, 947,4.17,33.3,58.0,43.5,60.0,55.6,59.0,46.1,60.6
2006,  603, 59.36,46.17,52.93,0,239, 982,5.98, 772,5.38, 771,4.20, 931,4.18,42.8,61.0,15.6,57.0,24.5,59.0,40.4,59.0
2017, -432, 72.04,47.29,51.92,0,231,1202,5.38, 942,5.90, 844,5.10, 949,4.30,66.0,61.0,33.7,59.0,25.3,58.0,43.2,61.0
2009,  573, 87.66,26.22,70.97,0,231, 879,4.42, 964,4.52, 838,4.82, 978,5.93,37.2,59.0,43.4,58.0,24.7,58.0,42.5,61.0
2015, -453, 83.50,86.35,13.50,0,386, 861,4.40,1212,3.29,1193,3.90, 986,6.00,32.9,59.0,75.3,62.0,70.0,62.0,43.5,63.0
2019, -604, 17.00,58.81,41.19,0,388, 981,2.89, 911,3.96,1090,4.11, 926,4.70,48.7,57.0,37.3,59.0,57.8,59.0,36.4,57.0
2021, -655, 80.46,13.70,83.23,0,249, 747,6.16, 886,5.30, 910,3.44, 867,4.50,14.9,57.0,33.6,57.0,38.4,56.0,30.2,59.0
2011,  711, 61.30,60.77,38.33,0,459, 984,5.30, 963,5.80,1072,3.90,1174,4.07,45.7,63.0,42.3,63.0,60.6,60.0,69.2,59.0
2015, -587, 80.46,90.33, 9.67,0,428, 903,4.69,1063,3.67,1107,4.47, 898,6.39,35.8,59.0,58.7,61.0,59.9,62.0,32.0,62.0
2008, -516, 61.07,43.81,53.70,1,417,1158,3.79, 908,4.19,1049,5.10, 866,4.50,67.5,58.0,35.6,58.0,53.4,61.0,29.6,57.0
2012,-1080, 78.20,85.08,14.85,1,501, 935,5.90,1018,5.00,1007,5.49,1106,3.60,37.4,62.0,50.0,63.0,47.9,63.0,65.0,60.0
2012,  438, 90.70,25.28,74.72,1,233, 863,6.20, 932,5.33, 873,6.03, 892,4.03,25.3,59.0,36.9,60.0,29.8,61.0,39.1,58.0
2013, -572, 80.56,72.58,27.42,0,425,1193,3.69, 989,5.70,1017,4.80, 988,5.46,69.3,61.0,43.0,61.4,48.9,62.0,46.3,63.1
2013, -825,105.24,57.90,42.06,0,367,1029,4.39, 839,6.29, 944,5.39, 914,5.99,51.3,61.0,24.9,61.0,40.3,62.0,35.9,63.0
2010,-1178, 73.62,88.93,11.03,0,488, 967,5.38,1045,3.48,1155,3.60, 886,3.98,43.8,63.0,58.9,60.0,68.1,59.0,34.4,58.0
2017, -811, 70.35,76.12,23.87,0,314,1168,4.70, 936,5.28, 838,4.48, 969,3.60,64.3,60.0,35.2,58.0,26.7,57.0,47.1,60.0
2016, -720, 81.62,84.29,15.66,0,485, 995,5.19, 915,4.37,1066,3.38,1099,4.15,43.9,59.0,37.8,59.0,59.8,61.0,60.0,62.0
2013, -835, 95.46,46.56,53.43,0,297, 995,4.49, 842,6.30, 959,5.49, 876,6.20,46.1,61.0,23.4,60.0,40.3,62.0,30.3,63.0
2016, -571, 79.20,73.63,26.37,0,491, 987,4.92, 893,4.10,1062,3.10,1106,3.85,43.7,59.0,36.0,58.0,59.7,61.0,61.0,61.0
2013, -412,114.00,61.19,38.09,0,355,1020,4.79, 830,6.66, 960,5.79, 923,6.40,49.5,62.0,22.5,62.0,40.8,63.0,35.7,63.6
2013, -869, 64.39,32.68,56.67,0,202, 989,4.90, 822,6.80, 921,5.90, 863,6.60,44.0,60.0,19.9,60.0,34.9,62.0,27.6,62.0
2022, -918,107.62,42.39,57.39,0,206,  NA,  NA, 772,6.93, 918,6.12, 964,4.12,  NA,  NA,16.3,59.0,35.2,59.0,42.4,58.0
2013, -941, 74.98,86.02,13.82,0,513,1108,3.77, 899,5.71, 989,4.81, 972,5.31,61.6,61.0,33.9,62.0,47.5,63.0,44.7,63.0
2011,  399, 62.02,17.60,80.67,0,284, 954,4.85, 876,5.60, 892,3.60,1012,3.72,40.1,59.7,31.5,61.0,40.2,57.0,50.1,56.0
2012, -388, 98.30,87.58,12.33,0,272, 822,6.70, 940,5.83, 882,6.51, 922,4.50,20.4,61.0,37.6,62.0,30.2,63.0,41.9,60.0
2006, -563, 62.74,24.47,72.48,0,254, 983,5.64, 775,5.02, 767,3.88, 927,3.88,43.7,61.0,16.8,56.0,25.0,58.0,40.7,58.0
2012,  599, 57.86,83.15,16.62,0,503, 969,5.80,1044,4.90,1028,5.40,1102,3.60,40.7,62.0,52.3,62.0,50.1,63.0,64.7,60.0
2015, -645, 79.16,86.36,12.91,0,440, 875,4.04,1056,3.08,1108,3.78, 908,5.68,33.4,57.0,58.3,60.0,60.4,60.2,33.8,61.0
2012,  391, 76.70,71.95,27.26,0,291, 835,6.45, 958,5.63, 887,6.35, 915,4.32,22.2,61.0,39.8,62.0,31.2,63.0,41.6,60.0
2005, -851, 40.71,15.04,74.93,0,301, 783,4.92, 787,3.82, 937,3.74, 795,4.82,18.6,56.0,27.7,58.0,42.7,58.0,27.3,60.0
2015,-1570, 80.98,70.43,29.51,0,389, 869,4.35,1206,3.25,1202,3.95, 991,6.03,33.4,59.0,74.3,62.0,70.3,62.0,43.4,62.3
